"Group","Elem.","Material","Formula","Band_gap(eV)","Gap_type",""
"IV","1","Diamond","C","5.47","indirect",""
"IV","1","Silicon","Si","1.12","indirect",""
"IV","1","Germanium","Ge","0.67","indirect",""
"IV","1","Gray tin, α-Sn","Sn","0.08","indirect",""
"IV","2","Silicon carbide, 3C-SiC","SiC","2.30","indirect",""
"IV","2","Silicon carbide, 4H-SiC","SiC","3.30","indirect",""
"IV","2","Silicon carbide, 6H-SiC","SiC","3.00","indirect",""
"VI","1","Sulfur, α-S","S8","2.60","",""
"VI","1","Gray selenium","Se","1.74","indirect",""
"VI","1","Red selenium","Se","2.05","indirect",""
"VI","1","Tellurium","Te","0.33","",""
"III-V","2","Boron nitride, cubic","BN","6.36","indirect",""
"III-V","2","Boron nitride, hexagonal","BN","5.96","quasi-direct",""
"III-V","2","Boron nitride nanotube","BN","5.50","",""
"III-V","2","Boron phosphide","BP","2.00","indirect",""
"III-V","2","Boron arsenide","BAs","1.14","direct",""
"III-V","2","Boron arsenide","B12As2","3.47","indirect",""
"III-V","2","Aluminium nitride","AlN","6.28","direct",""
"III-V","2","Aluminium phosphide","AlP","2.45","indirect",""
"III-V","2","Aluminium arsenide","AlAs","2.16","indirect",""
"III-V","2","Aluminium antimonide","AlSb","2.20","indirect/direct",""
"III-V","2","Gallium nitride","GaN","3.44","direct",""
"III-V","2","Gallium phosphide","GaP","2.26","indirect",""
"III-V","2","Gallium arsenide","GaAs","1.43","direct",""
"III-V","2","Gallium antimonide","GaSb","0.73","direct",""
"III-V","2","Indium nitride","InN","0.70","direct",""
"III-V","2","Indium phosphide","InP","1.35","direct",""
"III-V","2","Indium arsenide","InAs","0.36","direct",""
"III-V","2","Indium antimonide","InSb","0.17","direct",""
"II-VI","2","Cadmium selenide","CdSe","1.74","direct",""
"II-VI","2","Cadmium sulfide","CdS","2.42","direct",""
"II-VI","2","Cadmium telluride","CdTe","1.49","direct",""
"II-VI, oxide","2","Zinc oxide","ZnO","3.37","direct",""
"II-VI","2","Zinc selenide","ZnSe","2.70","direct",""
"II-VI","2","Zinc sulfide","ZnS","3.54","direct",""
"II-VI","2","Zinc telluride","ZnTe","2.25","direct",""
"I-VII","2","Cuprous chloride","CuCl","3.40","direct",""
"I-VI","2","Copper sulfide","Cu2S","1.20","indirect",""
"IV-VI","2","Lead selenide","PbSe","0.27","direct",""
"IV-VI","2","Lead(II) sulfide","PbS","0.37","",""
"IV-VI","2","Lead telluride","PbTe","0.32","",""
"IV-VI","2","Tin(II) sulfide","SnS","1.30","direct/indirect",""
"IV-VI","2","Tin(IV) sulfide","SnS2","2.20","",""
"IV-VI","2","Tin telluride","SnTe","0.18","",""
"IV-VI","3","Lead tin telluride","Pb1−xSnxTe","0.29","",""
"II-V","2","Cadmium phosphide","Cd3P2","0.50","",""
"II-V","2","Cadmium arsenide","Cd3As2","0.00","",""
"II-V","2","Zinc phosphide","Zn3P2","1.50","direct",""
"II-V","2","Zinc diphosphide","ZnP2","2.10","",""
"II-V","2","Zinc arsenide","Zn3As2","1.00","",""
"Oxide","2","Titanium dioxide, anatase","TiO2","3.20","indirect",""
"Oxide","2","Titanium dioxide, rutile","TiO2","3.00","direct",""
"Oxide","2","Titanium dioxide, brookite","TiO2","3.26","",""
"Oxide","2","Copper(I) oxide","Cu2O","2.17","",""
"Oxide","2","Copper(II) oxide","CuO","1.20","",""
"Oxide","2","Uranium dioxide","UO2","1.30","",""
"Oxide","2","Tin dioxide","SnO2","3.70","",""
"Oxide","3","Barium titanate","BaTiO3","3.00","",""
"Oxide","3","Strontium titanate","SrTiO3","3.30","",""
"Oxide","3","Lithium niobate","LiNbO3","4.00","",""
"Oxide","3","Lanthanum copper oxide","La2CuO4","2.00","",""
"V-VI","2","monoclinic Vanadium(IV) oxide","VO2","0.70","optical",""
"Layered","2","Molybdenum disulfide","MoS2","1.23","indirect",""
"Layered","2","Gallium selenide","GaSe","2.10","indirect",""
"Layered","2","Tin sulfide","SnS","1.5","direct",""
"Magnetic","2","Nickel(II) oxide","NiO","3.60","direct",""
"other","3","Copper indium selenide, CIS","CuInSe2","1.00","direct",""
"other","2","Arsenic trisulfide Orpiment","As2S3","2.70","direct",""
"other","2","Thallium(I) bromide","TlBr","2.68","",""
"other","2","Silver sulfide","Ag2S","0.90","",""
"other","2","Iron disulfide","FeS2","0.95","",""
"other","4","Copper zinc tin sulfide, CZTS","Cu2ZnSnS4","1.49","direct",""
"other","4","Copper zinc antimony sulfide, CZAS","Cu1.18Zn0.40Sb1.90S7.2","2.20","direct",""
"other","3","Copper tin sulfide, CTS","Cu2SnS3","0.91","direct",""
